Project_ID,Project_Name,Scale,Purpose,Location,Country,Continent,Latitude,Longitude,Injection,InjectionSize_Mt,Total_Injection_Mt,Storage_Distance,Estimated_Cost,Production_Capacity,Plant Capacity Comment,Power Plant Size,Capacity,Regulation Status,Primary Company / Alliance,Project Description,Project_Website,Status,Status Comment,Intended_Operational_Year,Operation_Year,End_Operation_Year,Date Comment,Public Funding,Public Funding Comment,Public Engagement,Non_Commercial_Org,CCS Group,Company Comment,Fate,On_Offshore,Storage_Company,Storage_Country,Storage Latitude,Storage Longitude,Storage_Comment,Storage_Monitoring,Product,Source_Company,Construction,Permit,Permit Date,Feedstock,Feedstock Detail,Feedstock Additional,Fuel_Capacity,Separation_Type,Separation_Technology,Separation Comment,Capture_Company,Transpor_Method,Transport_Company,Cluster,Cluster Comment,Trans-boundary,Transport Comment,Date Entered,Entered by,Date Modified,Modified by,Links
2743,Test 1,Demonstration,Other,Here,United Kingdom,Europe,56,3,,1,,,,,,,,,Test,test,,Speculative,,,,,,No,,,,,,Unknown,Onshore,,,,,,,Test,,Unknown,,,Unknown,,,,Unknown,,,,Pipe,,Yes,,Yes,,8/11/2023,chill2,8/11/2023,chill2,
2742,Project Bifrost,Demonstration,Other,North Sea,Denmark,Europe,56.344143,4.27192,3,4,,260,,,,,,,"TotalEnergies, Noreco, Nordsøfonden, Ørsted, The Technical University of Denmark (DTU), BlueNord","CCS research and demonstration project to evaluate the potential for CO2 transport and storage at the Harald field in the Danish North Sea. In particular, the project will seek to qualify the potential of utilising DUC (Danish Underground Consortium) north sea reservoirs and existing pipeline infrastructure connected to mainland Denmark. Total Energies was awarded CO2 storage licneces in early 2023 for areas including the Harald gas fields. No date currently set for start of commercial operations.",https://bifrost-ccs.com,In Planning,,,,,Initial study to start in 2021.,Yes,Received USD 11.4M (Dec 2021) for intial studies from the Energy Technology Development and Demonstration Program (EUDP) via the Danish Energy Agency.,,,,,Depleted Oil and Gas,Offshore,,Denmark,56.344143,4.27192,TotalEnergies awarded two CO2 storage licences (Feb '23),,Unknown,,Retrofit,,,Unknown,,,,Unknown,,,,Pipe and Ship,,No,,No,,2/8/2022,rsteven2,6/26/2023,rsteven2,"https://www.noreco.com/news/2021/q3/noreco-announces-the-ccs-partnership-project-bifrost	Noreco Press Release (Sep 2021): Noreco announces the CCS partnership Project Bifrost	https://www.offshore-energy.biz/danish-govt-bankrolls-two-projects-for-co2-storage-in-north-sea/	Press (Dec 2021): Danish govt bankrolls two projects for CO2 storage in North Sea	https://bifrost-ccs.com/wp-content/uploads/2023/02/PR-local-version-EN-CCS-licenses.pdf	TotalEnergies Press Release (Feb 2023): TotalEnergies Obtains Two CO2 Storage Licenses in the Danish North Sea							"
2740,Polaris,Pilot,Industry,Finnmark,Norway,Europe,70.481,24.265,2,3,,,,,,,,,Horisont energi,"Dedicated CO2 storage project for the Horisont energi, Equinor and Vår Energi Barents Blue clean ammonia project (see separate entry), as well as for third parties on a commercial 'storage as a service' basis. The project aims to deliver the lowest carbon storage cost globally and thereby demonstrate the feasibility of large-scale commercial CCS facilities not reliant on government subsidies. Partners working on different aspects of the project include Baker Hughes, which is exploring the development and integration of technologies to minimise cost, delivery time and carbon footprint across the full CCS infrastructure chain; ASCO, which will provide logistics and supply services; and Knutsen Group and TGS which will provide CO2 transport and storage and storage monitoring services respectively. In June 2021, Horisont announced that it had signed several letters of intent with as-yet-undisclosed ""major European companies"" on a commercial basis. In Apr 2022, it was announced that the Norwegian Petroleum and Energy Ministry had awarded the project a license to establish the Polaris CO₂ storage facility. The Polaris aquifer, in the Barents Sea, is estimated to have a storage capcity of over 100MtCO2. Map location is for the Barents Blue ammonia plant, which will supply 2MtCO2/yr for storage in the Polaris aquifer.",https://www.horisontenergi.no/carbon-storage/,In Planning,FID expected by end-2022,2025,,,,No,,,,,,Saline Formation,Offshore,,Norway,,,The Polaris reservoir is estimated to have a total storage capacity of 100MtCO2. Its location is currently unclear.,,"Blue ammonia and blue hydrogen from the Barents Blue clean ammonia project, and other from third party clients",Various,New,,,Other,"2.8 MSm3/day from the Melkøya LNG plant, and other from third party clients",,,Other,,"Separation type for the Barents Blue project is post-combustion, with separation technology provided by HPC. Details for commercial clients is unclear.",,Ship,,No,,Yes,"Shipping is planned under the Barents Blue clean ammonia project 'train 1' phase. Pipelines may be required for subsequent phases and/or CO2 transport from third party commercial clients, which may be located in other countries.",11/9/2021,rsteven2,4/6/2022,rsteven2,https://www.worldoil.com/news/2021/3/24/baker-hughes-and-horisont-energi-team-on-barents-sea-carbon-capture-and-storage-project
2739,Barents Blue,Commercial,Industry,"Markoppneset, Hammerfest, Finnmark",Norway,Europe,70.4792,24.2631,2,3,,,,"blue ammonia: 3kt/day, blue hydrogen: 600t/day",1Mt/yr blue ammonia production,,,,"Horisont energi, Equinor and Vår Energi","Aiming to develop Europe’s first large-scale blue ammonia production facility (3kt/day), also including blue hydrogen production (600t/day), with geological CO2 storage of 2Mt/yr as part of the related Polaris project (see separate entry). The project will reform (via ATR) natural gas from the Melkøya LNG plant to produce both ammonia and hydrogen. The project is currently focused on the first of three ‘trains’ or phases, each of which will be capable of producing 1Mt ammonia/yr and permanently sequestering 2MtCO2/yr.",https://www.horisontenergi.no/blue-ammonia/,In Planning,FID expected by end-2022,2025,,,,Yes,"EUR 47M received (Dec 2021) from Enova, which is owned by the Norwegian Ministry of Climate and Environment",,,,,Saline Formation,Offshore,,Norway,,,Captured CO2 will be stored in the Polaris sandstone formation as part of Horisont's Polaris project (see separate entry). The Polaris reservoir is estimated to have a total storage capacity of 100MtCO2,,Blue ammonia and blue hydrogen,,New,,,Gas,2.8 MSm3/day from the Melkøya LNG plant,,,Pre-combustion,HPC,,,Ship,,No,,No,Unclear from current plans if pipelines are planned in addition to shipping.,11/9/2021,rsteven2,4/6/2022,rsteven2,https://www.horisontenergi.no/wp-content/uploads/2021/06/Barents-Blue-Project-Flyer-2021.pdf
2738,Peterhead Low Carbon CCGT Power Station Project,Commercial,Power,"Peterhead, Scotland",United Kingdom,Europe,57.478846,-1.790994,1.5,2.5,,78,,,,,,,"SSE Thermal, Equinor","Successor to the Shell-SSE Peterhead CCS project, which was cancelled in 2015 and would have been a world-first fully integrated commercially operating CCS solution (see separate entry). Announced in 2021, this Project will build a new power station consisting of one combined cycle gas turbine (CCGT) unit with a total output of up to 910MW electrical output. The CCGT comprises one high efficiency gas turbine and associated Heat Recovery Steam Generator (HRSG, a type of boiler) and steam turbine. CO2 emissions will be captured via a post-combustion capture plant, with transport and geological offshore storage services provided as part of the Acorn CCS project (see separate entry). Environmental Impact Assessments took place in 2021 and a Section 36 consent application was submitted to the Scottish Government Energy Consents Unit in March 2022. The project is part of The Scottish Cluster, which was selected as a ‘reserve project’ in the UK Government’s CCUS Cluster Sequencing Track 1 projects announcement in Oct 2021.",https://www.ssethermal.com/flexible-generation/development/peterhead-carbon-capture/,In Planning,,2026,,,"FID could be as early as 2022, with construction (3yrs) beginning in 2023",Yes,Scotland's Net Zero Infrastructure (SNZI) project - of which this project is a part - received GBP 31.3M (Mar 2021) for infrastructure components in Phase 2 of the UKRI Industrial Strategy Challenge Fund (ISCF) and Phase 1 funding of between GBP 60-200k. The related Scotland's Net Zero Roadmap (SNZR) project also received a share of the GBP 8M ISCF Phase 2 funding (Jan 2021) and Phase 1 funding of between GBP 40-120k (Apr 2020).,"Informal and formal public consultation on project plans took place in May-June and Aug-Oct 2021 respectively, and included virtual and in-person exhibitions, and webinars",,,,Saline Formation,Offshore,Acorn,UK,,,As part of the Acorn project (see separate entry),,Electricity,SSE Thermal,New,,,Gas,,,,Post-combustion,,,,Pipe,Acorn,Yes,Part of the Scottish Cluster,No,,11/2/2021,rsteven2,4/6/2022,rsteven2,https://www.ukri.org/news/ukri-announces-winners-of-industrial-cluster-competition/
2737,Moomba CCS Project,Pilot,Industry,"Moomba, Cooper Basin",Australia,Australia,-28.111554,140.207603,1.7,2.7,,,USD 165M (AUSD 220M),,,,20,,"Santos, Beach Energy","Project to capture and store CO2 emissions from extraction and processing of natural gas at the Santos Moomba Gas Plant, which provides sales gas to domestic customers and refinery feedstock products via its fractionation plant at Port Bonython. Previous iterations included using the captured CO2 for enhanced oil recovery (EOR), followed by continued dedicated CO2 storage. It is unclear if the current project plans also include EOR. Successful injection of 100tCO2 as part of final field trials reported in 2020. The project aims to eventually include low-carbon hydrogen production. Phase 1 aims to capture and store 1.7MtCO2/yr, with potential to scale up to 20MtCO2/yr across the Cooper Basin. FID announced in Nov 2021 following successful registration with the Clean Energy Regulator that provides a 25-year period over which the project will qualify for Australian Carbon Credit Units (ACCU).",https://www.santos.com/sustainability/climate-change/,In Design,FID announced Nov 2021,2024,,,,Yes,Received AUSD 15M in June 2021 under the Australian government's CCS Development Fund,,,,"Santos is the operator of the Moomba CCS project, with a 66.7% stake. Beach Energy is the other partner. In 2020, bp made a non-binding 'commitment' to invest AUSD 20M in the Santos project, though it is unclear whether the investment actually happened.",Depleted Oil and Gas,Onshore,Santos,Australia,,,Strzelecki gas field in the Cooper Basin. Successful injection of 100tCO2 reported in Oct 2020. Project has the potential to store up to 20MtCO2/yr across the Cooper Basin.,,"Natural gas liquids, stabilised crude oil and condensate",Santos,Unknown,,,Gas,,,,Unknown,,The plant has a relatively pure CO2 stream that does not require post-combustion technology. Pre-combustion for hydrogen production via ATR (most likely) of natural gas.,,Pipe,Santos,No,,No,,11/2/2021,rsteven2,11/9/2021,rsteven2,"https://web.archive.org/web/20101220204050/https://www.santos.com/library/Santos_Moomba_Carbon_Storage.pdf
Santos presentation (2007): Moomba Carbon Storage project
https://www.reuters.com/article/us-australia-carboncapture/bp-santos-carbon-capture-pact-may-rekindle-dormant-australia-plans-idUSKBN20R155
Press (Mar 2020): BP, Santos carbon capture pact may rekindle dormant Australia plans
https://www.greencarcongress.com/2020/10/20201026-santos.html
Press (Oct 2020): Initial CO2 injection trials successful
https://www.ppo.com.au/santos-beach-energy-secure-15m-for-moomba/
Press (Jun 2021): Santos, Beach Energy secure $15m for Moomba
https://www.santos.com/news/santos-announces-fid-on-moomba-carbon-capture-and-storage-project/
Santos Press Release (Nov 2021): FID announced (USD 165M)
The University of Edinburgh
Website Accessibility
Privacy Notice
The University of Edinburgh is a charitable body, registered in Scotland, with registration number SC005336, VAT Registration Number GB 592 9507 00, and is acknowledged by the UK authorities as a “Recognised body” which has been granted degree awarding powers.
Unless explicitly stated otherwise, all material is copyright © SCCS ."
2736,Viking CCS,Demonstration,Other,"Humber , Southern North Sea",United Kingdom,Europe,53.448056,2.333056,3.6,4.6,,140,,,,,,,"Harbour Energy (lead), VPI, Philips 66, EP UK Investments, Humber Zero, Prax","Viking CCS (formerly V Net Zero) aims to deliver a CO2 transport and storage ‘takeaway’ service, initially for a smaller group of emitters in the Humber river area, by installing new onshore and repurposing existing offshore pipeline infrastructure, and other facilities, and with new pipeline extensions to storage sites in the Viking Area of the Southern North Sea. This project is the designated transport and storage component for the Humber Zero project (see separate entry), which aims to kick start a regional CCS and low-carbon hydrogen hub capable of capturing up to 8MtCO2/yr by 2030. In addition to the Humber Zero emitters – firstly, VPI Immingham CHP plant and Philipps 66 Humber Refinery, then Uniper’s Killingholme Power Station and the Hornsea windfarm in further phases - it also includes the Prax Lindsey Oil Refinery and EP UK Investments' proposed South Humber Bank Energy Centre (EfW plant). Viking CCS aims to store 11MtCO2/yr by 2030 and over 12MtCO2/yr by 2034, and has a total maximum storage capacity of over 300MtCO2. Feasibility study announced (Sep 2021) to demonstrate the potential for a CO2 reception terminal at the Port of Immingham. CCUS Cluster Sequencing Track-2 status awarded July 2023. Map location is for the Viking Gas Fields area, the approximate location of the initially proposed CO2 storage site.",https://www.vnetzerocluster.co.uk,In Design,,2026,,,,No,The related Humber Industrial Cluster Plan received ISCF Phase 2 funding of GBP 1.7M (Jan 2021) and Phase 1 funding of between GBP 40-120k (Apr 2020).,,"Humber Cluster Plan (Humber Local Enterprise Partnership, CATCH industry partnership)",,Humber Cluster Plan is the UKRI-funded roadmap project for the wider Humber area,Depleted Oil and Gas,Offshore,Harbour Energy,UK,53.448056,2.333056,"OGA awarded (Oct 2021) Harbour Energy a CO2 appraisal and storage licence covering an area in the Southern North Sea off the North East Lincolnshire coast, in line with Harbour’s proposal to reuse the depleted Rotliegend gas fields, Viking and Victor, c140km from the Lincolnshire coast to securely store the CO2 in deep geological formations c.9000ft (c.2.7km) below seabed, and potentially utilise the Bunter Formation aquifer for future storage capacity of the project. V Net Zero initial planned injection rate of 3.6Mt/yr, rising to 11 Mt/yr by 2030.",,"Steam, electricity, refinery products","VPI Immingham, Philipps 66 Humber Refinery, Prax Lindsey Oil Refinery, EP UK Investments' proposed South Humber Bank Energy Centre (EfW plant), Uniper Killingholme Power Station, Hornsea offshore windfarm",Retrofit,,,Other,"Gas, oil, municipal waste",,,Unknown,,,,Pipe,Harbour Energy,Yes,Part of the wider Zero Carbon Humber cluster and is the dedicated transport and storage component of the Humber Zero project - see separate entries.,No,"Proposed new 53km onshore pipeline and repurposed LOGGS 118km 36"" trunkline, which has a CO2 transportation capacity of 30Mt/yr, for dense phase CO2",10/29/2021,rsteven2,7/31/2023,rsteven2,https://www.ukri.org/our-work/our-main-funds/industrial-strategy-challenge-fund/clean-growth/industrial-decarbonisation-challenge/
2735,Humber Zero,Demonstration,Other,Humber river area,United Kingdom,Europe,53.638826,-0.234093,5,6,,140,,,,,,,"VPI Immingham LLP (lead), Phillips 66 Ltd, Vitol","This project aims to kickstart a CCS and low-carbon hydrogen hub by 2027 that will capture and store up to 8MtCO2/yr by 2030. It will begin with a retrofit post-combustion capture plant to two existing gas turbines and auxiliary boilers at the VPI Immingham CHP plant, and a major process unit (Fluid Catalytic Cracker) at the Phillips 66 Humber Refinery. The VPI CHP plant provides steam and power to both the neighbouring Phillips 66 and Total Lindsey refineries, as well as feeding electricity into the National Grid. Subsequent phases include low-carbon hydrogen production for industrial and domestic use. Blue hydrogen will be produced at two sites: SMR of natural gas with CCS at Uniper’s Killingholme 600MW gas-fired power station and ATR of natural gas with CCS to supply the yet-to-be converted CCGT3 at VPI Immingham, which will run on a hydrogen/nitrogen mix. Green hydrogen will be produced from excess energy from the currently-under-construction offshore Hornsea windfarm. The V Net Zero Humber Cluster project (see separate entry) will deliver the transport and storage component, by repurposing existing onshore pipelines, Theddlethorpe Gas terminal and the LOGGS 118km 36"" trunkline to storage in the Viking area in the Southern North Sea. Feasibility study announced (Sep 2021) to demonstrate the potential for a CO2 reception terminal at the Port of Immingham. Map location is for the VPI Immingham CHP plant, where the CO2 capture anchor project will be based.",https://www.humberzero.co.uk,In Design,Expected FEED completion by 2023,2027,,,,Yes,Received GBP 12.7M (Mar 2021) for infrastructure components in Phase 2 of the UKRI Industrial Strategy Challenge Fund (ISCF). The related Humber Industrial Cluster Plan also received ISCF Phase 2 funding of GBP 1.7M (Jan 2021) and Phase 1 funding of between GBP 40-120k (Apr 2020).,,"Humber Cluster Plan (Humber Local Enterprise Partnership, CATCH industry partnership)",,Humber Cluster Plan is the UKRI-funded roadmap project for the wider Humber area,Depleted Oil and Gas,Offshore,Harbour Energy,UK,,,"A separate project - the Harbour Energy-led V Net Zero Humber Cluster project - will deliver the transport and storage component, repurposing the LOGGS 118km 36"" trunkline, and adding new branches to the Viking and Victor Fields in the Southern North Sea. See separate entry. 5MtCO2/yr from 2027; 8MtCO2//yr by 2030.",,"Steam, electricity, refinery products","VPI Immingham, Philipps 66 Humber Refinery, Uniper Killingholme Power Station, Hornsea offshore windfarm",Retrofit,,,Other,"Gas, oil",,,Post-combustion,Shell Cansolv CO2 post-combustion carbon capture technology,Pre-combustion for blue hydrogen production,,Pipe,Harbour Energy,Yes,Part of the wider Zero Carbon Humber cluster. See separate entry.,No,,10/29/2021,rsteven2,2/16/2022,rsteven2,https://www.ukri.org/our-work/our-main-funds/industrial-strategy-challenge-fund/clean-growth/industrial-decarbonisation-challenge/
2734,CO2 liquefaction and buffer storage in Wilhelmshaven,Pilot,Power,Willhelmshaven,Germany,Europe,53.520809,8.144739,1,2,,,,,,,1,,European Energy Logistics Park,"Project aimed at investigating and piloting an 'open access' CO2 liquefaction and buffer storage infrastructure for up to 1MtCO2/yr in the Energy Park in Wilhelmshaven, Germany. The project then aims to expand the network to the other European countries (e.g. Netherlands, Denmark, Norway) and within Germany to assure the safe buffer storage and further transportation for CO2 re-use. Current map location is arbitrary., and will be updated if/once the location has been confirmed.",https://ec.europa.eu/energy/sites/default/files/detailed_information_regarding_the_candidate_projects_in_co2_network.pdf,In Planning,,2026,,,,No,"Was not one of six PCI projects to receive funding in CEF Energy Call 2020 (Oct 2020), but assumed to still be a 'live' project",,,,,Unknown,Unknown,,,,,"Currently no details on storage location, but capacity of buffer storage would equate to ~1MtCO2/yr storage potential.",,Power,,Unknown,,,Unknown,,,,Unknown,,,,Ship,,No,"The project has the potential to become part of a larger CO2 removal network and may, in time, form a cluster with other facilities.",Yes,Cross-border between Germany and neighbouring European countries,10/21/2021,rsteven2,10/21/2021,rsteven2,
2733,H2morrow,Demonstration,Industry,Duisburg,Germany,Europe,51.488873,6.730677,,1,,80,,,,,,,"thyssenkrupp Steel Europe, Equinor, Open Grid Europe","Joint feasibility study to investigate potential for blue hydrogen production at thyssenkrupp's steel plant in Duisburg and permanent offshore geological storage of the resulting CO2 emissions. The hydrogen will be produced from natural gas imported from Norway via a SMR (steam methane reforming) process, and will be used to replace coking coal in the steelmaking process. The study will evaluate sourcing and transport options for the hydrogen and transport and storage options for the CO2. Storage is likely to be handled by Equinor's Northern Lights project. The project is part of potential for the wider North Rhine Westphalia 8.6TWh of hydrogen production per year and 1.9MtCO2/yr emissions reduction by ~2030.",https://oge.net/en/us/projects/our-hydrogen-projects/h2morrow,In Planning,,2027,,,The project's feasibility study concludes that the entire project’s value chain could be established by 2027.,No,,,,,,Saline Formation,Offshore,"Equinor, Shell, TotalEnergies",Norway,,,"Storage details presented here are for Equinor's Northern Lights project, though this has not been confirmed yet.",,Steel,thyssenkrupp Steel Europe,Unknown,,,Gas,Natural gas from Norway,,,Unknown,,,,Unknown,,No,"The project has the potential to become part of a larger delivery of hydrogen to industry and other end users, and may, in time, form a cluster with other hydrogen production facilities.",Yes,"Cross-border transport of natural gas from Norway to Germany, and of CO2 from Germany to Norway, most likely via ship.",10/21/2021,rsteven2,6/26/2023,rsteven2,https://www.chemengonline.com/equinor-thyssenkrupp-steel-and-oge-complete-blue-hydrogen-feasibility-study/?printmode=1
