Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight
200,1658,400,80,8,0.1,1,0.073
200,1719,400,80,8,0.1,1,0.073
200,1990,500,120,8.2,0.1,1,0.073
200,2025,650,140,20,0.1,1,0.073
200,1973,650,140,20,0.1,1,0.073
200,2406,630,140,50,0.1,1,0.073
200,2441,630,140,50,0.1,1,0.073
200,2423,630,140,50,0.1,1,0.073
200,2426,630,140,50,0.1,1,0.073
200,2427,440,120,18,0.1,1,0.073
200,2424,440,120,18,0.1,1,0.073
200,2358,440,120,18,0.1,1,0.073
200,1930,440,120,18,0.1,1,0.073
200,2274,440,120,18,0.1,1,0.073
200,2474,440,60,18,0.1,1,0.073
200,2594,250,60,8,0.1,1,0.073
200,1509,390,40,8.3,0.1,1,0.073
200,1583,390,40,8.3,0.1,1,0.073
200,2151,390,40,8.3,0.1,1,0.073
200,1758,390,40,8.3,0.1,1,0.073
200,1707,390,40,8.3,0.1,1,0.073
200,1632,390,40,8.3,0.1,1,0.073
200,1620,390,40,8.3,0.1,1,0.073
200,1554,390,40,8.3,0.1,1,0.073
200,1631,390,40,8.3,0.1,1,0.073
200,1623,390,40,8.3,0.1,1,0.073
200,1542,390,40,8.3,0.1,1,0.073
200,1613,390,40,8.3,0.1,1,0.073
200,1476,390,40,8.3,0.1,1,0.073
200,1616,390,40,8.3,0.1,1,0.073
200,1616,390,40,8.3,0.1,1,0.073
200,1563,390,40,8.3,0.1,1,0.073
200,1557,390,40,8.3,0.1,1,0.073
200,1609,390,40,8.3,0.1,1,0.073
200,1544,390,40,8.3,0.1,1,0.073
200,1545,390,40,8.3,0.1,1,0.073
200,1601,390,40,8.3,0.1,1,0.073
200,1546,390,40,8.3,0.1,1,0.073
200,1546,390,40,8.3,0.1,1,0.073
200,1546,390,40,8.3,0.1,1,0.073
200,1536,390,40,8.3,0.1,1,0.073
200,1536,390,40,8.3,0.1,1,0.073
200,1598,390,40,8.3,0.1,1,0.073
200,1592,390,40,8.3,0.1,1,0.073
200,1552,390,40,8.3,0.1,1,0.073
200,1591,390,40,8.3,0.1,1,0.073
200,1537,390,40,8.3,0.1,1,0.073
200,1541,390,40,8.3,0.1,1,0.073
200,1550,390,40,8.3,0.1,1,0.073
200,1563,390,40,8.3,0.1,1,0.073
200,1562,390,40,8.3,0.1,1,0.073
200,1548,390,40,8.3,0.1,1,0.073
200,1552,390,40,8.3,0.1,1,0.073
200,1572,390,40,8.3,0.1,1,0.073
200,1590,390,40,8.3,0.1,1,0.073
200,1523,390,40,8.3,0.1,1,0.073
200,1512,390,40,8.3,0.1,1,0.073
200,1488,390,40,8.3,0.1,1,0.073
200,1485,390,40,8.3,0.1,1,0.073
200,1452,390,40,8.3,0.1,1,0.073
200,1514,390,40,8.3,0.1,1,0.073
200,1448,390,40,8.3,0.1,1,0.073
200,1515,390,40,8.3,0.1,1,0.073
200,1473,390,40,8.3,0.1,1,0.073
200,1542,390,40,8.3,0.1,1,0.073
200,1522,390,40,8.3,0.1,1,0.073
200,1478,390,40,8.3,0.1,1,0.073
200,1446,390,40,8.3,0.1,1,0.073
200,1482,390,40,8.3,0.1,1,0.073
200,1477,390,40,8.3,0.1,1,0.073
200,1541,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1472,390,40,8.3,0.1,1,0.073
200,1479,390,40,8.3,0.1,1,0.073
200,1482,390,40,8.3,0.1,1,0.073
200,1518,390,40,8.3,0.1,1,0.073
200,1469,390,40,8.3,0.1,1,0.073
200,1459,390,40,8.3,0.1,1,0.073
200,1428,390,40,8.3,0.1,1,0.073
200,1474,390,40,8.3,0.1,1,0.073
200,1480,390,40,8.3,0.1,1,0.073
200,1507,390,40,8.3,0.1,1,0.073
200,1518,390,40,8.3,0.1,1,0.073
200,1522,390,40,8.3,0.1,1,0.073
200,1478,390,40,8.3,0.1,1,0.073
200,1472,390,40,8.3,0.1,1,0.073
200,1534,390,40,8.3,0.1,1,0.073
200,1529,390,40,8.3,0.1,1,0.073
200,1471,390,40,8.3,0.1,1,0.073
200,1473,390,40,8.3,0.1,1,0.073
200,1481,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1475,390,40,8.3,0.1,1,0.073
200,1482,390,40,8.3,0.1,1,0.073
200,1523,390,40,8.3,0.1,1,0.073
200,1527,390,40,8.3,0.1,1,0.073
200,1523,390,40,8.3,0.1,1,0.073
200,1507,390,40,8.3,0.1,1,0.073
200,1482,390,40,8.3,0.1,1,0.073
200,1481,390,40,8.3,0.1,1,0.073
200,1471,390,40,8.3,0.1,1,0.073
200,1531,390,40,8.3,0.1,1,0.073
200,1488,390,40,8.3,0.1,1,0.073
200,1474,390,40,8.3,0.1,1,0.073
200,1515,390,40,8.3,0.1,1,0.073
200,1512,390,40,8.3,0.1,1,0.073
200,1487,390,40,8.3,0.1,1,0.073
200,1517,390,40,8.3,0.1,1,0.073
200,1464,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1460,390,40,8.3,0.1,1,0.073
200,1528,390,40,8.3,0.1,1,0.073
200,1515,390,40,8.3,0.1,1,0.073
200,1535,390,40,8.3,0.1,1,0.073
200,1475,390,40,8.3,0.1,1,0.073
200,1511,390,40,8.3,0.1,1,0.073
200,1459,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1471,390,40,8.3,0.1,1,0.073
200,1455,390,40,8.3,0.1,1,0.073
200,1463,390,40,8.3,0.1,1,0.073
200,1530,390,40,8.3,0.1,1,0.073
200,1463,390,40,8.3,0.1,1,0.073
200,1461,390,40,8.3,0.1,1,0.073
200,1465,390,40,8.3,0.1,1,0.073
200,1456,390,40,8.3,0.1,1,0.073
200,1461,390,40,8.3,0.1,1,0.073
200,1470,390,40,8.3,0.1,1,0.073
200,1516,390,40,8.3,0.1,1,0.073
200,1464,390,40,8.3,0.1,1,0.073
200,1504,390,40,8.3,0.1,1,0.073
200,1531,390,40,8.3,0.1,1,0.073
200,1448,390,40,8.3,0.1,1,0.073
200,1453,390,40,8.3,0.1,1,0.073
200,1518,390,40,8.3,0.1,1,0.073
200,1475,390,40,8.3,0.1,1,0.073
200,1512,390,40,8.3,0.1,1,0.073
200,1526,390,40,8.3,0.1,1,0.073
200,1534,390,40,8.3,0.1,1,0.073
200,1454,390,40,8.3,0.1,1,0.073
200,1454,390,40,8.3,0.1,1,0.073
200,1445,390,40,8.3,0.1,1,0.073
200,1505,390,40,8.3,0.1,1,0.073
200,1453,390,40,8.3,0.1,1,0.073
200,1462,390,40,8.3,0.1,1,0.073
200,1515,390,40,8.3,0.1,1,0.073
200,1523,390,40,8.3,0.1,1,0.073
200,1505,390,40,8.3,0.1,1,0.073
200,1506,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1470,390,40,8.3,0.1,1,0.073
200,1465,390,40,8.3,0.1,1,0.073
200,1523,390,40,8.3,0.1,1,0.073
200,1472,390,40,8.3,0.1,1,0.073
200,1468,390,40,8.3,0.1,1,0.073
200,1502,390,40,8.3,0.1,1,0.073
200,1505,390,40,8.3,0.1,1,0.073
200,1478,390,40,8.3,0.1,1,0.073
200,1500,390,40,8.3,0.1,1,0.073
200,1477,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1465,390,40,8.3,0.1,1,0.073
200,1514,390,40,8.3,0.1,1,0.073
200,1470,390,40,8.3,0.1,1,0.073
200,1456,390,40,8.3,0.1,1,0.073
200,1478,390,40,8.3,0.1,1,0.073
200,1458,390,40,8.3,0.1,1,0.073
200,1468,390,40,8.3,0.1,1,0.073
200,1468,390,40,8.3,0.1,1,0.073
200,1505,390,40,8.3,0.1,1,0.073
200,1505,390,40,8.3,0.1,1,0.073
200,1462,390,40,8.3,0.1,1,0.073
200,1440,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1443,390,40,8.3,0.1,1,0.073
200,1492,390,40,8.3,0.1,1,0.073
200,1433,390,40,8.3,0.1,1,0.073
200,1494,390,40,8.3,0.1,1,0.073
200,1495,390,40,8.3,0.1,1,0.073
200,1495,390,40,8.3,0.1,1,0.073
200,1502,390,40,8.3,0.1,1,0.073
200,1492,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1515,390,40,8.3,0.1,1,0.073
200,1479,390,40,8.3,0.1,1,0.073
200,1502,390,40,8.3,0.1,1,0.073
200,1484,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1502,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1486,390,40,8.3,0.1,1,0.073
200,1509,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1491,390,40,8.3,0.1,1,0.073
200,1465,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1467,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1494,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1490,390,40,8.3,0.1,1,0.073
200,1496,390,40,8.3,0.1,1,0.073
200,1493,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1480,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1487,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1496,390,40,8.3,0.1,1,0.073
200,1477,390,40,8.3,0.1,1,0.073
200,1477,390,40,8.3,0.1,1,0.073
200,1502,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1500,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1516,390,40,8.3,0.1,1,0.073
200,1473,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1482,390,40,8.3,0.1,1,0.073
200,1488,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1491,390,40,8.3,0.1,1,0.073
200,1487,390,40,8.3,0.1,1,0.073
200,1489,390,40,8.3,0.1,1,0.073
200,1489,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1495,390,40,8.3,0.1,1,0.073
200,1480,390,40,8.3,0.1,1,0.073
200,1493,390,40,8.3,0.1,1,0.073
200,1490,390,40,8.3,0.1,1,0.073
200,1487,390,40,8.3,0.1,1,0.073
200,1493,390,40,8.3,0.1,1,0.073
200,1490,390,40,8.3,0.1,1,0.073
200,1495,390,40,8.3,0.1,1,0.073
200,1495,390,40,8.3,0.1,1,0.073
200,1487,390,40,8.3,0.1,1,0.073
200,1486,390,40,8.3,0.1,1,0.073
200,1491,390,40,8.3,0.1,1,0.073
200,1469,390,40,8.3,0.1,1,0.073
200,1492,390,40,8.3,0.1,1,0.073
200,1481,390,40,8.3,0.1,1,0.073
200,1480,390,40,8.3,0.1,1,0.073
200,1496,390,40,8.3,0.1,1,0.073
200,1481,390,40,8.3,0.1,1,0.073
200,1497,390,40,8.3,0.1,1,0.073
200,1501,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1499,390,40,8.3,0.1,1,0.073
200,1480,390,40,8.3,0.1,1,0.073
200,1492,390,40,8.3,0.1,1,0.073
200,1490,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1498,390,40,8.3,0.1,1,0.073
200,1496,390,40,8.3,0.1,1,0.073
200,1496,390,40,8.3,0.1,1,0.073
200,1458,390,40,8.3,0.1,1,0.073
200,1456,390,40,8.3,0.1,1,0.073
