Latitude,Longitude,Rate,Depth,Thick,Temp,Perm,Poro,Time,Weight,Injectivity_ton/(day*MPa),Cost_M$,PlumeRadius_m
49.320037,-101.399045,1000,1658,400,80,8,0.1,25,9.125,152.6099,12.5823,200.0409
49.353425,-101.497317,1000,1719,400,80,8,0.1,25,9.125,152.6099,12.5961,200.0409
49.503615,-102.660335,1000,1990,500,120,8.2,0.1,25,9.125,152.6099,12.8612,201.3861
49.590375,-103.032045,1000,2025,650,140,20,0.1,25,9.125,871.5927,13.3334,205.0729
49.237613,-103.622871,1000,1973,650,140,20,0.1,25,9.125,871.5927,13.3334,205.0729
49.09665,-104.41937,1000,2406,630,140,50,0.1,25,9.125,871.5927,11.3346,203.6167
49.230939,-104.583613,1000,2441,630,140,50,0.1,25,9.125,871.5927,11.3346,203.6167
49.601266,-104.724511,1000,2423,630,140,50,0.1,25,9.125,871.5927,11.3346,203.6167
49.324369,-104.800098,1000,2426,630,140,50,0.1,25,9.125,871.5927,11.3346,203.6167
49.705999,-105.019291,1000,2427,440,120,18,0.1,25,9.125,758.1197,13.1026,205.4896
49.702969,-105.023988,1000,2424,440,120,18,0.1,25,9.125,758.1197,13.1026,205.4896
49.343394,-105.193596,1000,2358,440,120,18,0.1,25,9.125,758.1197,13.1026,205.4896
50.443489,-105.19735,1000,1930,440,120,18,0.1,25,9.125,758.1197,13.106,205.644
49.257135,-105.241124,1000,2274,440,120,18,0.1,25,9.125,758.1197,13.1093,205.3856
49.301484,-105.276031,1000,2474,440,60,18,0.1,25,9.125,758.1197,12.9673,204.6443
49.635274,-107.231013,1000,2594,250,60,8,0.1,25,9.125,152.6099,12.6799,198.5276
48.691931,-100.360412,1000,1509,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.771853,-100.366533,1000,1583,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.945643,-100.378511,1000,2151,390,40,8.3,0.1,25,9.125,152.6099,12.7414,200.2559
48.898387,-100.502975,1000,1758,390,40,8.3,0.1,25,9.125,152.6099,12.4988,199.2409
48.983102,-100.608755,1000,1707,390,40,8.3,0.1,25,9.125,152.6099,12.4988,199.2409
48.971377,-100.640383,1000,1632,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.971661,-100.640812,1000,1620,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.910262,-100.640934,1000,1554,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
48.975559,-100.641012,1000,1631,390,40,8.3,0.1,25,9.125,152.6099,12.485,199.2409
